work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,SE,FT,Data Manager,145000,USD,145000,United States,No Remote Work,United States,M
2023,SE,FT,Data Manager,130000,USD,130000,United States,No Remote Work,United States,M
2023,SE,FT,Data Modeler,155000,USD,155000,United States,Fully Remote,United States,L
2023,SE,FT,Data Modeler,130000,USD,130000,United States,Fully Remote,United States,L
2023,SE,FT,Data Scientist,240000,USD,240000,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,180000,USD,180000,United States,Fully Remote,United States,M
2023,SE,FT,AI Engineer,170200,USD,170200,United States,No Remote Work,United States,M
2023,SE,FT,AI Engineer,83900,USD,83900,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,210000,USD,210000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,165000,USD,165000,United States,No Remote Work,United States,M
2023,SE,FT,Research Scientist,300000,USD,300000,United States,No Remote Work,United States,M
2023,SE,FT,Research Scientist,150000,USD,150000,United States,No Remote Work,United States,M
2023,SE,FT,ML Engineer,300000,USD,300000,United States,No Remote Work,United States,M
2023,SE,FT,ML Engineer,150000,USD,150000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,212800,USD,212800,United States,No Remote Work,United States,L
2023,SE,FT,Data Scientist,111600,USD,111600,United States,No Remote Work,United States,L
2023,SE,FT,Data Engineer,213600,USD,213600,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,103200,USD,103200,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,230000,USD,230000,Canada,Fully Remote,Canada,M
2023,SE,FT,Data Scientist,153000,USD,153000,Canada,Fully Remote,Canada,M
2023,SE,FT,Research Engineer,308000,USD,308000,United States,No Remote Work,United States,M
2023,SE,FT,Research Engineer,190400,USD,190400,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,204000,USD,204000,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,127500,USD,127500,United States,Fully Remote,United States,M
2023,MI,FT,Data Scientist,250000,USD,250000,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,125000,USD,125000,United States,No Remote Work,United States,M
2023,SE,FT,Research Engineer,385000,USD,385000,United States,No Remote Work,United States,M
2023,SE,FT,Research Engineer,310000,USD,310000,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,120000,USD,120000,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,88000,USD,88000,United States,Fully Remote,United States,M
2023,SE,FT,Machine Learning Engineer,158000,USD,158000,United States,Fully Remote,United States,M
2023,SE,FT,Machine Learning Engineer,108000,USD,108000,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,385000,USD,385000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,310000,USD,310000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,247300,USD,247300,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,139700,USD,139700,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,240000,USD,240000,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,180000,USD,180000,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,130000,USD,130000,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,101570,USD,101570,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,210000,USD,210000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,165000,USD,165000,United States,No Remote Work,United States,M
2023,SE,FT,AI Engineer,170200,USD,170200,United States,No Remote Work,United States,M
2023,SE,FT,AI Engineer,83900,USD,83900,United States,No Remote Work,United States,M
2023,SE,FT,Applied Scientist,222200,USD,222200,United States,No Remote Work,United States,L
2023,SE,FT,Applied Scientist,136000,USD,136000,United States,No Remote Work,United States,L
2023,MI,FT,Data Engineer,169000,USD,169000,United States,No Remote Work,United States,M
2023,MI,FT,Data Engineer,91000,USD,91000,United States,No Remote Work,United States,M
2023,EN,FT,Data Scientist,135000,USD,135000,United States,No Remote Work,United States,M
2023,EN,FT,Data Scientist,110000,USD,110000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,105000,GBP,129192,United Kingdom,No Remote Work,United Kingdom,M
2023,SE,FT,Data Engineer,80000,GBP,98432,United Kingdom,No Remote Work,United Kingdom,M
2023,MI,FT,AI Engineer,300000,GBP,369120,United Kingdom,No Remote Work,United Kingdom,M
2023,MI,FT,AI Engineer,33063,GBP,40680,United Kingdom,No Remote Work,United Kingdom,M
2023,SE,FT,Research Scientist,150000,USD,150000,United States,Fully Remote,United States,M
2023,SE,FT,Research Scientist,130000,USD,130000,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,128000,USD,128000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,81500,USD,81500,United States,No Remote Work,United States,M
2023,SE,FT,Data Architect,306000,USD,306000,United States,Fully Remote,United States,M
2023,SE,FT,Data Architect,204000,USD,204000,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,185900,USD,185900,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,129300,USD,129300,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,204500,USD,204500,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,142200,USD,142200,United States,No Remote Work,United States,M
2023,MI,FT,Machine Learning Engineer,70000,EUR,75577,Netherlands,No Remote Work,Netherlands,M
2023,EN,FT,Data Engineer,18000,USD,18000,India,Partially Remote,India,M
2023,MI,FT,Data Analyst,300000,GBP,369120,United Kingdom,No Remote Work,United Kingdom,M
2023,MI,FT,Data Analyst,50000,GBP,61520,United Kingdom,No Remote Work,United Kingdom,M
2023,EX,FT,Head of Data,270000,USD,270000,United States,Fully Remote,United States,M
2023,EX,FT,Head of Data,200000,USD,200000,United States,Fully Remote,United States,M
2023,MI,FT,Data Scientist,204500,USD,204500,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,142200,USD,142200,United States,No Remote Work,United States,M
2023,MI,FT,Data Analyst,75000,GBP,92280,United Kingdom,No Remote Work,United Kingdom,M
2023,MI,FT,Data Analyst,55000,GBP,67672,United Kingdom,No Remote Work,United Kingdom,M
2023,SE,FT,Data Engineer,188600,USD,188600,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,111550,USD,111550,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,230000,USD,230000,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,160000,USD,160000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,247300,USD,247300,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,139700,USD,139700,United States,No Remote Work,United States,M
2023,SE,FT,AI Engineer,360000,USD,360000,United States,No Remote Work,United States,M
2023,SE,FT,AI Engineer,240000,USD,240000,United States,No Remote Work,United States,M
2023,SE,FT,ETL Developer,129100,USD,129100,United States,No Remote Work,United States,M
2023,SE,FT,ETL Developer,111400,USD,111400,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,135000,USD,135000,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,110000,USD,110000,United States,Fully Remote,United States,M
2023,SE,FT,Machine Learning Engineer,214500,USD,214500,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,132600,USD,132600,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,120000,USD,120000,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,100000,USD,100000,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,242921,USD,242921,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,170045,USD,170045,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,225000,USD,225000,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,175000,USD,175000,United States,Fully Remote,United States,M
2023,MI,FT,Data Scientist,180000,USD,180000,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,162000,USD,162000,United States,No Remote Work,United States,M
2023,SE,FT,Data Architect,175000,USD,175000,United States,No Remote Work,United States,M
2023,SE,FT,Data Architect,90000,USD,90000,United States,No Remote Work,United States,M
2023,EN,FT,Data Scientist,156450,USD,156450,United States,No Remote Work,United States,M
2023,EN,FT,Data Scientist,119200,USD,119200,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,245000,USD,245000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,185000,USD,185000,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,214500,USD,214500,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,132600,USD,132600,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,154800,USD,154800,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,76300,USD,76300,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,178600,USD,178600,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,88600,USD,88600,United States,No Remote Work,United States,M
2023,SE,FT,Research Scientist,248100,USD,248100,United States,No Remote Work,United States,M
2023,SE,FT,Research Scientist,145900,USD,145900,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,93919,USD,93919,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,51962,USD,51962,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,207345,USD,207345,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,180300,USD,180300,United States,Fully Remote,United States,M
2023,SE,FT,Machine Learning Engineer,200000,USD,200000,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,140000,USD,140000,United States,No Remote Work,United States,M
2023,SE,FT,Analytics Engineer,205000,USD,205000,United States,No Remote Work,United States,M
2023,SE,FT,Analytics Engineer,167500,USD,167500,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,140000,USD,140000,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,110000,USD,110000,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,228045,USD,228045,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,198300,USD,198300,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,150000,USD,150000,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,140000,USD,140000,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,100000,USD,100000,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,75000,USD,75000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,45000,EUR,48585,Spain,No Remote Work,Spain,M
2023,SE,FT,Data Scientist,36000,EUR,38868,Spain,No Remote Work,Spain,M
2023,MI,FT,BI Developer,100000,USD,100000,United States,No Remote Work,United States,M
2023,MI,FT,BI Developer,75000,USD,75000,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,72360,EUR,78125,Latvia,No Remote Work,Latvia,M
2023,MI,FT,Data Scientist,37440,EUR,40423,Latvia,No Remote Work,Latvia,M
2023,SE,FT,Data Modeler,140000,USD,140000,United States,No Remote Work,United States,M
2023,SE,FT,Data Modeler,100000,USD,100000,United States,No Remote Work,United States,M
2023,MI,FT,Data Analytics Manager,125000,USD,125000,United States,No Remote Work,United States,M
2023,MI,FT,Data Analytics Manager,120000,USD,120000,United States,No Remote Work,United States,M
2023,SE,FT,Business Intelligence Analyst,127000,USD,127000,United States,No Remote Work,United States,M
2023,SE,FT,Business Intelligence Analyst,99000,USD,99000,United States,No Remote Work,United States,M
2023,MI,FT,Data Engineer,130000,USD,130000,United States,Fully Remote,United States,M
2023,MI,FT,Data Engineer,120000,USD,120000,United States,Fully Remote,United States,M
2023,SE,FT,Business Intelligence Analyst,194500,USD,194500,United States,Fully Remote,United States,M
2023,SE,FT,Business Intelligence Analyst,132320,USD,132320,United States,Fully Remote,United States,M
2023,SE,FT,Data Engineer,135000,USD,135000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,90000,USD,90000,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,223602,USD,223602,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,143520,USD,143520,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Scientist,180000,USD,180000,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Scientist,140000,USD,140000,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,180000,USD,180000,United States,No Remote Work,United States,M
2023,MI,FT,Data Scientist,162000,USD,162000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,99000,GBP,121809,United Kingdom,Fully Remote,United Kingdom,M
2023,SE,FT,Data Engineer,68000,GBP,83667,United Kingdom,Fully Remote,United Kingdom,M
2023,SE,FT,Data Analyst,120350,USD,120350,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,74400,USD,74400,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,185000,USD,185000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,123000,USD,123000,United States,No Remote Work,United States,M
2023,MI,FT,Data Engineer,140000,USD,140000,United States,Fully Remote,United States,M
2023,MI,FT,Data Engineer,90000,USD,90000,United States,Fully Remote,United States,M
2023,SE,FT,Machine Learning Engineer,214500,USD,214500,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,132600,USD,132600,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,154000,USD,154000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,103000,USD,103000,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,90000,USD,90000,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,80000,USD,80000,United States,Fully Remote,United States,M
2023,EX,FT,Data Manager,140000,USD,140000,United States,No Remote Work,United States,M
2023,EX,FT,Data Manager,100000,USD,100000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,170000,USD,170000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,100000,USD,100000,United States,No Remote Work,United States,M
2023,MI,FT,Data Analyst,115000,USD,115000,United States,No Remote Work,United States,M
2023,MI,FT,Data Analyst,105000,USD,105000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,296100,USD,296100,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,144500,USD,144500,United States,No Remote Work,United States,M
2023,EN,FT,Data Engineer,220000,USD,220000,United States,No Remote Work,United States,M
2023,EN,FT,Data Engineer,187000,USD,187000,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,118600,USD,118600,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,96800,USD,96800,United States,No Remote Work,United States,M
2023,EN,FT,Data Scientist,100000,USD,100000,United States,Fully Remote,United States,M
2023,MI,FT,Machine Learning Engineer,45000,EUR,48585,Italy,Fully Remote,United Kingdom,M
2023,MI,FT,Data Analyst,142000,USD,142000,United States,No Remote Work,United States,M
2023,MI,FT,Data Analyst,128000,USD,128000,United States,No Remote Work,United States,M
2023,SE,FT,ETL Developer,99500,USD,99500,United States,No Remote Work,United States,M
2023,SE,FT,ETL Developer,53300,USD,53300,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,210000,USD,210000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,165000,USD,165000,United States,No Remote Work,United States,M
2023,SE,FT,Research Scientist,172000,USD,172000,United States,No Remote Work,United States,M
2023,SE,FT,Research Scientist,125000,USD,125000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,250000,USD,250000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,190000,USD,190000,United States,No Remote Work,United States,M
2023,SE,FT,Research Engineer,245000,USD,245000,United States,No Remote Work,United States,M
2023,SE,FT,Research Engineer,245000,USD,245000,United States,No Remote Work,United States,M
2023,SE,FT,Data Architect,234900,USD,234900,United States,No Remote Work,United States,M
2023,SE,FT,Data Architect,68400,USD,68400,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,155000,USD,155000,United States,No Remote Work,United States,M
2023,SE,FT,Data Scientist,139000,USD,139000,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,142000,USD,142000,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,128000,USD,128000,United States,No Remote Work,United States,M
2023,SE,FT,Research Engineer,172000,USD,172000,United States,No Remote Work,United States,M
2023,SE,FT,Research Engineer,125000,USD,125000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,128000,USD,128000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,81500,USD,81500,United States,No Remote Work,United States,M
2023,MI,FT,Data Engineer,167500,USD,167500,United States,No Remote Work,United States,M
2023,MI,FT,Data Engineer,106500,USD,106500,United States,No Remote Work,United States,M
2023,MI,FT,Data Engineer,150000,USD,150000,United States,Fully Remote,United States,M
2023,MI,FT,Data Engineer,100000,USD,100000,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,139600,USD,139600,United States,No Remote Work,United States,M
2023,SE,FT,Data Analyst,85700,USD,85700,United States,No Remote Work,United States,M
2020,EN,FT,Azure Data Engineer,100000,USD,100000,Mauritius,No Remote Work,Mauritius,S
2023,SE,FT,Data Engineer,143000,USD,143000,United States,No Remote Work,United States,M
2023,SE,FT,Data Engineer,95000,USD,95000,United States,No Remote Work,United States,M
2023,SE,FT,Data Manager,145000,USD,145000,United States,No Remote Work,United States,M
2023,SE,FT,Data Manager,130000,USD,130000,United States,No Remote Work,United States,M
2023,SE,FT,Machine Learning Engineer,330000,USD,330000,United States,Fully Remote,United States,M
2023,SE,FT,Machine Learning Engineer,188000,USD,188000,United States,Fully Remote,United States,M
2023,SE,FT,Data Scientist,238000,USD,238000,Canada,Fully Remote,Canada,M
2023,SE,FT,Data Scientist,156000,USD,156000,Canada,Fully Remote,Canada,M
2023,SE,FT,Data Analyst,145000,USD,145000,United States,Fully Remote,United States,M
2023,SE,FT,Data Analyst,106000,USD,106000,United States,Fully Remote,United States,M
2023,SE,FT,Decision Scientist,140000,GBP,172256,United Kingdom,Fully Remote,United Kingdom,M
2023,SE,FT,Decision Scientist,100000,GBP,123040,United Kingdom,Fully Remote,United Kingdom,M
2023,SE,FT,Machine Learning Engineer,297300,USD,297300,United States,Fully Remote,United States,M
2023,SE,FT,Machine Learning Engineer,198200,USD,198200,United States,Fully Remote,United States,M
